,reviews,feedback
0,Love Echo,1
1,love it,1
2,sometimes play game answer question correctly Plea say get it wrong answer you like able turn light away home,1
3,I have have lot of fun thing 4 or old learn dinosaur control light play game like category nice sound play music well,1
4,music,1
5,I receive echo gift need Bluetooth play music easily accessible find smart speaker can not wait what it do,1
6,without have telephone use of feature have had not of use it be great alarm u r deaf hear alarm in bedroom in living room be reason merit be fun ask random question hear response not very smarten politic yet,1
7,think be th I ve purchase I m work get in room of house like what feature offer specially play music Chose control light house,1
8,look great,1
9,love it I ve listen song have not hear childhood news weather information its great,1
10,I send it 85 year old Had talk it constantly,1
11,love it Learning know thing it everyday figure work far its easy use understand laugh time,1
12,I purchase mother be have knee problem now trying come not get fast like didShe enjoy little big thing it doalexa play song what time be it where cook that,1
13,Love Love love,1
14,what expect,1
15,I love it wife hate it,1
16,happy purchase great speaker easy set up,1
17,have Plea couple of day have lot of fun new toy it like have new household member try learn different feature benefit come it,1
18,love size of and generation echo need little improvement sound,1
19,I like original Echo be shorter great fabriccolor choice miss volume ring top its plusminus button not big deal ring w comfort   that like use of standard us charge port instead of previous round pin that guess it sound same work same answer AlexaEchoComputer what s not like,1
20,Love Echo good music sound play it Plea understand command it be difficult time find specific playlist song Notify be good Amazon Music be lack in major program,1
21,we love Plea use play music play radio tunes play podcast Anypod set reminder listen flash bringing of news weather morning rely custom list like able voice control volume be sure well continue find new usessometime its bit frustration Plea do not understand what be say,1
22,have have it set day add smart home device it speaker be great playing music like size have it station kitchen counter its not intrusion look at,1
23,love it it play sleep sound immediately ask,1
24,I get second unit bedroom be expect sound improve do not difference all overall not big improvement st generation,1
25,amazing product,1
26,I love Echo its easy operate load of aunt be advertise use it mainly play favorite tune test Texas knowledge,1
27,sound great love they,1
28,fun item play use hard time answer question ask think it well,1
29,like,1
30,learn capabilitiesbut far pretty pretty pretty good,1
31,like it,1
32,she work well need learn command unique owner user like Plea learn Ashes birthday Plea learn definition of Line Etc be great,1
33,speaker sound pretty good small set be pretty easy buy reason rate it 3 be have follow instruction since music unit know I ve it correctly will not son be primary motivation purchase multiple unit,1
34,device be awesome,1
35,buy compare speaker quality generation speaker like sound well ship daughter like fact generation charitable base buy keep it mobile need well sound what now,1
36,Love Echo learn thing it do be not able follow instruction include in package find great tube,1
37,Speaker be well st generation Echo,1
38,this thing be way cool one want cool be,1
39,this be digital assistant I m give good review Speaker be good cheap price Crime day Run play alarm clock that s what be go in place end Echo have not have definitely try that like good be number of device it connect with purchase come Smart Plug 10 connect lamp to Plea turn of light,1
40,husband like able use it listen music wish know its capability,1
41,my Android not allow Plea connect fortunately sister be Apple cell hour teach support fix pitch run,1
42,far good,1
43,try play certain broadway show like Camelot it give ne group Camelot,1
44,great,1
45,very satisfied Echo Plea control light in family room wife listen Jimmy Suffer ask Plea,1
46,its like Fire in fact Fire answer accurately Plea do not real need it in household it be good bargain prime day deal,0
47,Love Echo learn thing work have ton of fun,1
48,love,1
49,no different Apple play specific list of music have Amazon of Notify plusprimeetc account pay play your music 3 star reason be  ,1
50,Excelente lo union es que no est en español,1
51,I m learn use it far Echo be great sound be actually well be expect,1
52,work you d expect some good sound quality consider price 7000 sale feature,1
53,sound Echo and Generation be phenomena not mention love Plea be very helpful,1
54,like goose well,1
55,have have it let play learn of it,1
56,work advertise very easy set learn what do,1
57,great sound easy set up,1
58,love Plea buy friend,1
59,love echo purchase it company husband be 83 Plea be great be tell joke play favorite song,1
60,,1
61,love able listen music easily learn feature available,1
62,do t know what use device for it thing need overview,1
63,love wish it have build in hut,1
64,use it primarily play music it work wonderfully get of thing it do Amazon send tip get it thank help,1
65,easy be set up,1
66,fast response be amazing clear concise answer sound quality be fantastic get Alexis have not use Echo extent,1
67,you re needn na anna,1
68,expect more,1
69,I love Echo Works like say it would do not have 34smart34 home speak function it be good,1
70,great sound in small packageeasy set use fun own,1
71,work sound great,1
72,sound be amazing collection of music,1
73,set,1
74,do not listen,1
75,its awesome,1
76,I buy it control fits television it work well I m hope time it control fits discover thing Plea do play music ask for great sound Plea play game play radio station play old time radio program like Long Danger Plea pp add ability day play Madlibs great fun Plea control household appliance purchase Plea compatible power strip control light fan to component I m look forward implement control add Plea component have choose music play in room component locate,1
77,speaker excellent sound work perfectly,1
